id,price
15208,1191321.8
15209,366147.66
15210,782684.06
15211,289816.78
15212,387555.22
15213,415212.75
15214,340672.53
15215,487851.47
15216,606697.3
15217,474921.2
15218,240738.61
15219,453003.34
15220,270161.66
15221,582105.7
15222,494261.7
15223,387631.47
15224,395589.12
15225,278967.34
15226,564655.44
15227,453621.72
15228,429743.72
15229,392839.66
15230,252748.73
15231,1210603.1
15232,377803.6
15233,637652.9
15234,392761.84
15235,870354.06
15236,431053.6
15237,323582.6
15238,285946.84
15239,481866.06
15240,473398.22
15241,639482.94
15242,440875.16
15243,439989.4
15244,672400.6
15245,316999.94
15246,570326.9
15247,769085.06
15248,409686.56
15249,257480.16
15250,793640.44
15251,586219.9
15252,324597.16
15253,509163.9
15254,433225.34
15255,912124.3
15256,445217.84
15257,271106.2
15258,1003630.0
15259,390190.06
15260,955281.56
15261,345784.97
15262,558000.56
15263,290488.1
15264,436251.56
15265,925198.1
15266,373693.34
15267,325164.3
15268,595444.5
15269,571762.44
15270,656017.7
15271,1108509.2
15272,316989.16
15273,404181.4
15274,256408.42
15275,371130.56
15276,330525.75
15277,368298.0
15278,209657.36
15279,270835.12
15280,370023.4
15281,332458.47
15282,376920.84
15283,621994.4
15284,379576.84
15285,322047.66
15286,572446.56
15287,395255.38
15288,331766.03
15289,359482.84
15290,320081.78
15291,433665.4
15292,472012.66
15293,314438.1
15294,198554.06
15295,406744.97
15296,3086021.0
15297,232984.86
15298,317645.4
15299,496418.4
15300,497555.75
15301,830385.7
15302,570777.8
15303,489161.4
15304,1862010.0
15305,483698.84
15306,454606.56
15307,362870.34
15308,316490.62
15309,654496.8
15310,327920.7
15311,260572.05
15312,269186.66
15313,754738.75
15314,438805.4
15315,562205.8
15316,653569.06
15317,471996.25
15318,321372.72
15319,462293.9
15320,451318.25
15321,334089.88
15322,632286.7
15323,425095.84
15324,356156.66
15325,698088.44
15326,394173.38
15327,845042.3
15328,401803.53
15329,411690.34
15330,456005.53
15331,385678.9
15332,496014.03
15333,547067.2
15334,419050.4
15335,322645.1
15336,1264049.9
15337,399468.9
15338,339751.6
15339,713194.2
15340,680181.94
15341,341257.44
15342,293372.1
15343,301919.6
15344,420921.1
15345,441789.78
15346,333240.06
15347,397891.25
15348,267279.4
15349,649315.44
15350,487309.6
15351,281862.47
15352,503069.3
15353,194699.88
15354,343397.94
15355,352985.44
15356,901013.3
15357,477200.1
15358,347807.53
15359,693376.3
15360,300209.22
15361,330211.1
15362,304638.16
15363,449900.6
15364,567839.8
15365,497268.84
15366,367152.53
15367,318904.56
15368,505783.84
15369,468674.3
15370,245906.47
15371,451985.53
15372,772083.06
15373,274779.16
15374,312850.9
15375,239817.48
15376,1516292.1
15377,387198.2
15378,532613.06
15379,311138.7
15380,406080.1
15381,1376624.6
15382,194087.2
15383,585047.3
15384,600537.06
15385,405692.6
15386,365907.03
15387,342536.66
15388,661457.56
15389,500354.1
15390,422986.75
15391,404352.56
15392,428035.53
15393,468347.16
15394,394686.6
15395,560679.75
15396,373426.38
15397,859087.94
15398,356852.03
15399,493832.03
15400,345946.12
15401,321337.6
15402,471375.72
15403,236651.19
15404,766346.3
15405,233461.36
15406,413105.62
15407,296976.84
15408,328742.22
15409,268682.72
15410,368853.12
15411,891786.56
15412,292295.44
15413,313288.22
15414,308176.47
15415,402785.25
15416,894131.56
15417,475077.9
15418,521461.03
15419,487262.16
15420,276854.06
15421,1566331.2
15422,488451.53
15423,326044.78
15424,341984.78
15425,576824.56
15426,331577.6
15427,219159.77
15428,891463.2
15429,408223.34
15430,345884.0
15431,299505.34
15432,547802.06
15433,549860.2
15434,264452.72
15435,432632.44
15436,496582.28
15437,308738.97
15438,280136.03
15439,446284.9
15440,306051.62
15441,367449.03
15442,857800.44
